id,catalog_number,add_descr
2887412,579-95,Adjustable base for Hydraulic Hose System
2887424,5WT-3672-12PN-95,"All welded 14 gauge steel platform truck with 12"" pneumatic casters, (2) swivel and (2) rigid"
2887416,583-95,Three Opening Hydraulic Hose Cabinet 
2887388,5023-4S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887420,5WT-2448-12PN-95,"All welded 14 gauge steel platform truck with 12"" pneumatic casters, (2) swivel and (2) rigid"
2887440,AF-2448-95,A-Frame Truck 
2887444,AF-3048-PBLP-95,A-Frame Truck with Louvered Panels and Pegboard on Either Side
2887448,APT-2436-95,14 Gauge Steel Construction; 6 removable handles. (in: 12 x 24 x 36) (mm: 305 x 610 x 914) above deck
2887436,806-95,"The door trays, furnished with covers, provide convenient storage in otherwise unuseable space. Adjustable dividers are also provided."
2887464,DC36-48-4S6DS-5295,nan
2887460,DC-243636-48-2S-1795,nan
2887468,DC36-642S6DS-5295,nan
2887452,ATT-2438-95,Single Sided Adjust-A-Tray Truck
2887484,DC48-724S6DS-5295,nan
2887492,DCBDLP524RDR-1795,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887476,DC48-128-4S-95,nan
2887472,DC48-114-6DS-5295,nan
2887480,DC-482472-BDLP-95,nan
2887496,DCBDLP584RDR-5295,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887524,DWBM-3660-BE-95,Lips up on 3 sides
2887536,EGCVC4-50,Vertical Cylinder Storage Cabinet - Holds 4 Cylinders
2887504,DC-DLP-96-4S-1795,nan
2887512,DWB-3060-BE-RSR-95,Riser is 16H x 13D and includes Louvered Back Panel. (also includes electrical strip with 5 outlets)
2887508,DWB-3048-95,nan
2887532,EGCC8-50,Horizontal Cylinder Storage Cabinet - Holds 8 Cylinders
2887500,DCBDLP694RDR-95,nan
2887544,EMDC361845B1795,Clearview Cabinets with Hook-On Bins®
2887540,EMDC-2602-HDL-BLP-95,nan
2887552,EMDC-361872-30B-1795,Clearview Cabinets with Hook-On Bins®
2887564,EMDC-362472-30B-1795,Clearview Cabinets with Hook-On Bins®
2887556,EMDC-361884-95,nan
2887560,EMDC-362442-95,nan
2887528,EAS-2436-95,Open Access Cart 
2887584,EMDC-482472-42B-1795,Clearview Cabinets with Hook-On Bins®
2887572,EMDC-481872-24B-2S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887592,EPT-2448-95,"All welded 12 gauge steel platform truck with 6"" x 2"" phenolic bolt-on casters, (2) swivel and (2) rigid"
2887588,EMDC-482472-6B-3S-5295,Clearview Cabinets with Hook-On Bins® and Shelves
2887548,EMDC-361860-95,nan
2887596,EX-3060-2SC-6PH-95,nan
2887608,FS-SH-2930,nan
2887604,FDC-SH-7218-95,nan
2887520,DWBM-3060-BE-LP-95,Mobile Work Bench with Louvered Panel Top 
2887580,EMDC-481872-95,nan
2887600,FDC-SH-4818-95,nan
2887488,DC48-842S6DS-95,nan
2887656,HDC-244842-2S95,12 Gauge Counter Top Cabinet
2887568,EMDC-362472-95,nan
2887660,HDC-246078-4S95,nan
2887672,HDC36-126PB240-95,12 Gauge Cabinet with 126 Hook-On-Bins
2887676,HDC36-60-2S6D95,nan
2887668,HDC36-108-3S95,nan
2887648,HDC-202436-2S95,12 Gauge Counter Top Cabinet
2887708,HDCC203642-2S95,12 Gauge Countertop Clearview Shelf Cabinet
2887688,HDC48-162-95,12 Gauge Cabinet with 162 Hook-On-Bins
2887684,HDC48-134-3S5295,nan
2887716,HDCD243678-3B95,nan
2887692,HDC48-84-2S6D95,nan
2887724,HDCM36-12-2S5295,Mobile Cabinet with Hook-On Bins and Shelves
2887696,HDC60-198-1795,12 Gauge Cabinet with 198 Hook-On-Bins
2887728,HDCM36-30-95,Mobile Cabinet with Hook-On Bins 
2887732,HDCM48-18-2S95,Mobile Cabinet with Hook-On Bins and Shelves
2887664,HDC36-102-3S5295,nan
2887712,HDCC244866-3S95,12 Gauge Clearview Shelf Cabinet
2887704,HDC72-240-5295,12 Gauge Cabinet with 240 Hook-On-Bins
2887748,HDC-SH-2036-95,nan
2887720,HDCD244878-6B95,nan
2887752,HDC-SH-2436-95,nan
2887576,EMDC-481872-42B-95,Clearview Cabinets with Hook-On Bins®
2887740,HDCP243678-4S95,12 Gauge Extra Heavy Duty Shelf Cabinet with PegBoard Doors. 
2887736,HDCM48-4S-95,Mobile Cabinet with 4 Shelves
2887760,HDCV36-12B-2S1795,12 Gauge Cabinets
2887756,HDC-SH-2472-95,nan
2887764,HDCV36-30B-5295,12 Gauge Cabinets
2887768,HDCV36-6B-3S95,12 Gauge Cabinets
2887776,HDCV48-42B-5295,12 Gauge Cabinets
2887788,HDDS246066-6S95,nan
2887772,HDCV48-24B-2S1795,12 Gauge Cabinets
2887652,HDC-243636-2S95,12 Gauge Counter Top Cabinet
2887792,HDJ36-12DC24TB4S95,nan
2887800,HDS-1848-95,nan
2887808,HDWB-3660-95,nan
2887796,HDJC244878-156-4S5295,nan
2887820,HET-2448-2-5K-95,nan
2887780,HDCV60-12B-3S95,12 Gauge Cabinets
2887816,HDWC246078-7M95,nan
2887804,HDS-HUP-96,High Additional Uprights
2887824,HET-3048-2-95,nan
2887832,HET-3672-3-5K-95,nan
2887864,HWBMT-364830-95,Extra Heavy Duty Machine Tables - Top shelf Only
2887828,HET-3060-3-5K-95,nan
2887860,HWB-3660-95,Super Heavy Duty Workbench
2887840,HMT-3048-3-95,nan
2887868,HWBMT-366034-95,Extra Heavy Duty Machine Tables - Top shelf Only
2887844,HMT-3672-3-95,nan
2887836,HMT-2436-3-95,nan
2887876,JC-171-5295,nan
2887884,JCBDLP694RDR-95,nan
2887872,JC-137-3S-1795,nan
2887888,JSC-602460-95,nan
2887892,LDO-2436-2-ALU-95,Low Deck Service Truck
2887880,JC-482478-5S-95,nan
2887900,LDO-3048-2-ALU-95,Low Deck Service Truck
2887904,LDO-3060-3-95,Low Deck Service Truck
2887908,LIC-3048-2-95,Low Profile Instrument Cart
2887912,LPRSS-17.25X20-95,Free Standing Louvered Panel Rack
2887916,LPRSS-34.5X68-95,Free Standing Louvered Panel Rack
2887944,MT243618-2K195,Medium Duty Machine Tables - Top Shelf Only
2887932,MSB12-2036-95,12 Opening Mobile Storage Bin
2887956,MT244836-3K295,Heavy Duty Machine Tables - 2 Shelves
2887920,LPW-34.5X20-95,Wall Mountable Louvered Panel (include 2 panels)
2887948,MT243630-2K395,Medium Duty Machine Tables - 3 Shelves
2887972,MTD244818-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887968,MTD243624-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887960,MT364836-3K295,Heavy Duty Machine Tables - 2 Shelves
2887964,MTD182430-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2887896,LDO-2448-2-ALU-95,Low Deck Service Truck
2887936,MSD-2023-95,Mobile Shop Desk
2887952,MT244824-2K195,Medium Duty Machine Tables - Top Shelf Only
2887940,MT182436-2K195,Medium Duty Machine Tables - Top Shelf Only
2887980,MTDM182436-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2887992,MTM182418-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2887976,MTD244842-2K195,Medium Duty Machine Tables With Drawer and Top Shelf Only
2888000,MTM243624-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888016,MTM367236-3K295,Mobile Heavy Duty Machine Tables - 2 Shelves
2887996,MTM182442-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2887988,MTDM244824-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2888012,MTM244842-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888024,OPC-3060-2-95,"2 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2888020,OPC-2436-2-95,"2 Shelf Order Picking Cart with writing surface & 1-1/2"" (38mm) lip to retain paper and pens "
2888036,PAT-36-4-14-95,"Pan & Tray Truck with 4""(102mm) spacing between trays"
2887984,MTDM243630-2K195,Mobile Medium Duty Machine Tables with Drawer & Top Shelf Only
2888032,OPT-7230-95,nan
2888028,OPT-4824-95,nan
2888040,PSD-2430-3-95,nan
2888072,RIC-244850-3-95,3 Shelf Rolling Instrument Cart
2888004,MTM243636-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888076,RIC-367250-3-95,3 Shelf Rolling Instrument Cart
2888092,RSC-2436-2-2.4K-ALU-FL-95,2 Shelf Stock Cart with Floor Lock
2888088,RSC-1836-BLP-112-210-95,Heavy Duty Bin Service Carts
2888044,PSD-2436-3-2D-95,3 Shelf Portable Shop Desk with 2 Drawer
2888108,RSC-2448-2-3K-TLD-95,2 Shelf Stock Cart with Ergonomic Handle-
2888008,MTM244830-2K195,Mobile Medium Duty Machine Tables - Top Shelf Only
2888100,RSC-2436-3-95,3 Shelf Stock Carts
2888120,RSC-3048-2-3K-TLD-95,2 Shelf Stock Cart with Ergonomic Handle-
2888096,RSC-2436-2-LP-2DR-32B-95,nan
2888124,RSC-3060-2-2.4K-ALU-FL-95,2 Shelf Stock Cart with Floor Lock
2888116,RSC-2448-5-95,5 Shelf Stock Cart
2888104,RSC-2436-BLP-48-230-95,Heavy Duty Bin Service Carts
2888112,RSC-2448-3-95,3 Shelf Stock Carts
2888136,RSC3-2436-2-3.6K-95,2 Shelf Stock Carts with 3 Lips Up
2888132,RSC-3060-5-95,5 Shelf Stock Cart
2888156,RSCE-2436-2-3.6K-95,Heavy Duty Rolling Stock Cart with Ergonomic Handle
2888148,RSCE-1830-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888144,RSC6-2436-2-95,2 Shelf Stock Carts with 3 Lips Up
2888164,RSCE-2448-2-95,Rolling Stock Cart with Ergonomic Handle
2888176,RSCR-2436-95,2 Shelf Stock Cart with Raised Handle (All lips Up)
2888180,RSCR-3048-95,2 Shelf Stock Cart with Raised Handle (All lips Up)
2888160,RSCE-2436-2-TLD-95,Rolling Stock Cart with Ergonomic Handle-
2888184,RSIC-2436-2-5PU-95,2 Shelf Instrument Cart with Drawer and Electrical Strip (Polyurethane Caster)
2888128,RSC-3060-3-3K-TLD-95,3 Shelf Stock Carts
2888168,RSCE-3048-2-3.6K-TLD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888188,SJC-BDLP-192-5295,nan
2888192,SJC-DLP-4S-14DS-95,nan
2888204,SSC-227-NL-95,nan
2888140,RSC6-1830-2-3.6K-95,2 Shelf Stock Carts with 6 Lips Up
2888212,SSC-722484-BDLP-212-3S-95,"Lockable, 212 Bin Cabinet with 3 Adjustable Shelves "
2888228,WBF-3072-95,nan
2888232,WBF-3672-95,nan
2888196,SSC-185-3S-NL-1795,nan
2888240,WBF-TH-36120-95,nan
2888236,WBF-TH-30120-95,nan
2888200,SSC-227-5295,nan
2888244,WBF-TH-48120-95,nan
2888292,510-43-B,(36 Unit) One center partition.
2888300,PB30172-08,Divider (Horizontal)
2888248,WB-SHELF-72-95,"72"" long"
2888296,PB30161-08,Divider (Vertical)
2888328,PB30240-17,Dividers: order PB30176
2888172,RSCE-3060-2-3.6K-ALD-95,Heavy Rolling Stock Cart with Ergonomic Handle-
2888320,521-43-A,"(60 Kit) Includes a 4-1/4"" partition. Includes handle, wall mounting hangers, and one fixed shelf."
2888324,B476-43-HIPS,(24 Unit HIPS) With fold-down polypropylene combination handle/hanger.
2888384,498-43,(Super Pocket Kit Box) The size of this polypropylene kit makes it an ideal choice for many promotional first aid packaging applications.
2888304,PB30250-17,Dividers: order PB30176
2886862,001-95,"Resembling a scaled-down filing cabinet, this set of 6 drawers keeps stationery supplies, sewing notions, and craft items organized. Six drawers with adjustable dividers. Drawers feature sides slotted on one inch centers to hold high impact plastic divide"
2888344,502-43,(10 Unit)
2886866,005-95,18 Drawer Cabinets. See Drawer Cabinets and Drawer Cabinets (Jumbo Drawers) categories for similar units. Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width
2886874,019-95,72 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886886,033-95,24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2886878,025-95,"60 Drawer Cabinet Systems-with 11-1/4"" Deep Extra large capacity drawers"
2886894,057-50,Spill Control / Respirator Cabinet
2886890,052-50,Spill Control / Respirator Cabinet
2886882,029-95,"90 Drawer Cabinet Systems-with 17"" Deep Extra large capacity drawers"
2886930,1090M-50,FM Approved Manual Closing Safety Cabinet 
2886910,1016SL-50,"FM Approved, 16 Gallon, Self closing doors, Flammable Storage Cabinet with Legs "
2886926,1060S-50,FM Approved Self Closing Safety Cabinet 
2886870,013-95,12 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.
2888348,PB30210-17,Dividers: order PB30161
2886902,1012M-50,FM Approved Manual Closing Safety Cabinet 
2886978,2210A-32B-LU-95,nan
2886962,177-DRAWER-95,"Drawer and runners for 30""(762 mm) bench"
2886974,2202-95,nan
2886982,2211A-LU-95,nan
2886990,2220-95,nan
2887002,2500-138B-1795,16 Gauge Cabinets with Hook-On Bins
2886938,1110-95,"17"" (432mm)  Diameter Rotabin®"
2886986,2212A-BLP-8B-LU-95,nan
2887022,2502-138-3S-95,16 Gauge Cabinets with Hook-On Bins and Shelves
2887018,2501M-BLP-30-95,Mobile Cabinet with Hook-On Bins 
2887050,297-95,"Wire and Terminal Storage Cabinet. Accomodates 24 3-1/2"" spools. 16 grommets to guide wires and a compartment box with 21 compartments for storing smaller components."
2887026,2502-4S-95,nan
2887034,2503-2S-95,nan
2887014,2501M-BLP-12-2S-5295,Mobile Cabinet with Hook-On Bins and Shelves
2887054,2SPT-3048-2-2K-95,"All welded, heavy duty 14 gauge steel stock truck with phenolic casters, (2) swivel and (2) rigid and 2 shelves, tubular handle allows easy mobility. Ships fully assembled and ready for use. "
2887058,300-95,Aerosol Storage Cabinet 
2887010,2501-BDLP-126-1795,16 Gauge Cabinets with Hook-On Bins
2887030,2502M-BLP-42-1795,Mobile Cabinet with Hook-On Bins 
2887062,303-2S-95,Hydraulic Hose Cabinet
2887098,3403-95,Stationary Workstation with 1 Shelf
2887094,338-95,"12"" Deep Utility Cabinet "
2887106,3500-138B-5295,nan
2887078,3100-BLP-95,nan
2887114,3501584RDR-1795,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887102,344-95,32 Opening Bin 
2887118,3501-BDLP-102-3S-1795,nan
2887038,2600-2S-95,nan
2887042,2603-156B-5295,16 Gauge Cabinets with Hook-On Bins
2887126,3501-DLP-60DR11-96-2S1795,36 Wide Small Parts Storage & Security Cabinet with 60 Jumbo Drawers & 96 Hook-On Bins%uFFFD
2887122,3501-BDLP-132-5295,nan
2887138,3501M-BLP-12-2S-95,Mobile Cabinet with Hook-On Bins and Shelves
2887134,3501-DLP-PB-96-2S-95,"36 Wide 5-S Storage Cabinet with Steel Pegboard, 96 Bins and 2 Adjustable Shelves"
2887154,3502M-BLP-42-1795,Mobile Cabinet with Hook-On Bins 
2887150,3502-95,nan
2887162,354-95,nan
2887146,3502-186-1795,nan
2887142,3501M-BLP-4S-95,Mobile Cabinet with 4 Shelves
2887166,359-95,nan
2887158,3503-95,14 Gauge Cabinet with
2887175,3602-BLP-36-5295,nan
2887170,3602-BLP-14-2S-1795,nan
2887191,365-95,"Hinged door set with padlock attachment is available for models 348-95, 350-95, 351-95, 360-95, 361-95 and 363-95. They are shipped separately and attached using sheet metal screws or pop rivets. Padlock not provided."
2887183,361-95,nan
2887179,3603-156B-5295,nan
2887199,3702-132-5295,nan
2887203,3702-16-3S-95,nan
2887211,3703CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887219,3704CXC-54B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887215,3703CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. 
2887207,3702CXC-30B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included
2887231,393-95,8 Opening Bin 
2887235,3952-4S-95,* Features space-saving bi-folding doors 
2887227,382-95,"Base for 9""(229mm) Deep Parts Bins"
2887239,397-95,nan
2887251,3ST-EX2460-95,3 Sided Mesh Stock Truck
2887255,3ST-EX3048-95,3 Sided Mesh Stock Truck
2887267,3ST-EX3672-95,3 Sided Mesh Stock Truck
2887247,3SLT-2448-2K-95,3 Sided Low Deck Stock Truck
2887263,3ST-EX3660-95,3 Sided Mesh Stock Truck
2887243,3SLT-1836-2K-95,3 Sided Low Deck Stock Truck
2887283,402-55,11 Pocket 
2887259,3ST-EX3060-95,3 Sided Mesh Stock Truck
2887291,403-95,5 Pocket 
2887287,403-10,5 Pocket 
2887271,400-55,20 Pocket 
2887275,401-10,23 Pocket 
2887279,401-95,23 Pocket 
2887299,406-75,10 Pockets Literature Rack (large)
2887311,411-08,20 Pockets Literature Rack (large)
2887295,405-75,11 Pockets Literature Rack (large)
2887323,431-08,9 Opening Horizontal Literature Rack
2887331,4SLT-2436-1.2K-95,4 Sided Low Deck Stock Truck
2887303,407-75-A,Optional Legs for models 405 and 411
2887327,434-08,15 Opening Horizontal Literature Rack
2887339,4STE-EX-3060-95,4 Sided Mesh Box Truck with Ergonomic Handle
2887343,4STE-SM-3060-95,4 Sided Solid Box Truck with Ergonomic Handle
2887335,4SLT-3048-2K-95,4 Sided Low Deck Stock Truck
2887351,5003-4S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887347,5002-3S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887359,5007-4S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887355,5006-3S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887371,5014-3S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887363,5010-3S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887367,5011-4S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887387,5022-48-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887383,5019-54-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887375,5015-4S-95,Heavy Duty 12 Gauge Enclosed Shelving
2887379,5018-42-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887391,5023-72-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins
2887407,564-H721,"This 12-Pocket Plastic Door Pouch is used with 9FX/9AV Cabinets (Models 534-43, 534AV-43)."
2887399,534AV-43,(9AV Cabinet) Two adjustable shelves. Door pouches (Model 564-H721) and additional shelves sold separately.
2887403,539-43,"(15FX Cabinet) 5-shelf, Door pouch sold separately Model (566-H723)."
2887395,529-D831,in: 6-3/4 x 3-3/4 
2887419,5WT-2448-12MR-95,"All welded 14 gauge steel platform truck with 12"" mold-on rubber casters, (2) swivel and (2) rigid"
2887439,921-95,Welding Rod Cabinet
2887415,582-95,Two Opening Hydraulic Hose Cabinet 
2887423,5WT-3672-12MR-95,"All welded 14 gauge steel platform truck with 12"" mold-on rubber casters, (2) swivel and (2) rigid"
2887435,802-95,"The door trays, furnished with covers, provide convenient storage in otherwise unuseable space. Adjustable dividers are also provided."
2887447,AF-3672-95,A-Frame Truck 
2887451,APT-3060-95,14 Gauge Steel Construction; 6 removable handles. (in: 12 x 24 x 36) (mm: 305 x 610 x 914) above deck
2887467,DC36-642S6DS-1795,nan
2887463,DC36-48-4S6DS-1795,nan
2887475,DC48-128-4S-5295,nan
2887487,DC48-842S6DS-5295,nan
2887471,DC48-114-6DS-1795,nan
2887495,DCBDLP584RDR-1795,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers "
2887499,DCBDLP694RDR-5295,nan
2887479,DC48-176-95,nan
2887483,DC48-724S6DS-1795,nan
2887491,DC-BDLP-132-95,nan
2887519,DWBM-3060-BE-95,Lips up on 3 sides
2887507,DWB-3048-177-95,nan
2887515,DWB-3072-BE-PB-95,Heavy Duty Workbench with 72W x 24H Pegboard Back Panel 
2887503,DCBDLP724RDR-95,nan
2887527,EAS-1836-95,Open Access Cart 
2887455,BCT-2896-10K-95,8' length with 4 cradles
2887443,AF-3048-PB-95,A-Frame truck with Pegboard on Both Sides
2887531,EGCC4-50,Horizontal Cylinder Storage Cabinet - Holds 4 Cylinders
2887523,DWBM-3072-BE-95,Lips On 3 Sides 
2887555,EMDC-361872-95,nan
2887539,EMDC-2602-BLP-2S-95,All Welded 16 Gauge Construction
2887551,EMDC-361872-18B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves
2887559,EMDC36242S15B95,Clearview Cabinets with Hook-On Bins® and Shelves
2887547,EMDC-361848-95,nan
2887543,EMDC36182S15B95,Clearview Cabinets with Hook-On Bins® and Shelves
2887563,EMDC-362472-18B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves
2887567,EMDC-362472-4S-95,nan
2887575,EMDC-481872-42B-5295,Clearview Cabinets with Hook-On Bins®
2887579,EMDC-481872-6B-3S-95,Clearview Cabinets with Hook-On Bins® and Shelves
2887571,EMDC-481872-24B-2S-1795,Clearview Cabinets with Hook-On Bins® and Shelves
2887583,EMDC-482472-24B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves
