id,catalog_number,description,main_image
2071010,CF400-13CSHD,"DIXON CF400-13CSHD 4\ ID 4 61/64\"" - 5\"" OD Heavy Duty CS Crimp Ferrule""",
2071009,CF400-12CSHD,"DIXON CF400-12CSHD 4\ ID 4 57/64\"" - 4 60/64\"" OD Heavy Duty CS Crimp Ferrule""",
2071008,CF400-11CSHD,"DIXON CF400-11CSHD 4\ ID 4 53/64\"" - 4 56/64\"" OD Heavy Duty CS Crimp Ferrule""",
2071007,CF400-10CSHD,"DIXON CF400-10CSHD 4\ ID 4 49/64\"" - 4 52/64\"" OD Heavy Duty CS Crimp Ferrule""",
2070998,CDMHCB60230,"DIXON CDMHCB60230 STRAIGHT 6\ NPT X (2) 3\"" NPT CONCEALED HYDRANT BODY-BRASS""",
2070997,CDMHCB60225,DIXON CDMHCB60225 STR CONCEALED TWO WAY WALL HYDRANT BODY - BRASS,
2070996,CDMHCB50230,"DIXON CDMHCB50230 STRAIGHT 5\ NPT X (2) 3\"" NPT CONCEALED HYDRANT BODY-BRASS""",
2070995,CDMHCB40230,"DIXON CDMHCB40230 STRAIGHT 4\ NPT X (2) 3\"" NPT CONCEALED HYDRANT BODY- BRASS""",
2070994,CDMHCB40225,DIXON CDMHCB40225 STR CONCEALED TWO WAY WALL HYDRANT BODY - BRASS,
2070992,CAP600F-C-LH,"DIXON CAP600F-C-LH 6\ NST CAP W/CHAIN ALUM; LH""",
2070989,CAP500F-C-LH,"DIXON CAP500F-C-LH 5\ NST CAP W/CHAIN ALUM; LH""",
2070986,CAP450F-C-LH,"DIXON CAP450F-C-LH 4-1/2\ NST (NH) LONG HANDLE ALUM CAP WITH CHAIN""",
2070983,CAP400F-C-LH,"DIXON CAP400F-C-LH 4\ NST (NH) LONG HANDLE ALUM CAP WITH CHAIN""",
2070967,C7505,"DIXON C7505 1\ PLTD STL HEAVY DUTY MICROMETER TORQUE WRENCH 24 TOOTH 750 FT LB""",
2070966,C7504,"DIXON C7504 3/4\ PLTD STL HEAVY DUTY MICROMETER TORQUE WRENCH 24 TOOTH 750 FT LB""",
2070965,C6005,"DIXON C6005 1\ PLTD STL HEAVY DUTY MICROMETER TORQUE WRENCH 24 TOOTH 600 FT LB""",
2070964,C6004,"DIXON C6004 3/4\ PLTD STL HEAVY DUTY MICROMETER TORQUE WRENCH 24 TOOTH 600 FT LB""",
2070963,C4504,"DIXON C4504 3/4\ PLTD STL HEAVY DUTY MICROMETER TORQUE WRENCH 24 TOOTH 450 FT LB""",
2070962,C2503,"DIXON C2503 1/2\ PLTD STL MICROMETER TORQUE WRENCH 36 TOOTH 250 FT LB""",
2070961,C2001,"DIXON C2001 1/4\ PLTD STL MICROMETER TORQUE WRENCH 36 TOOTH 200 IN LB""",
2070960,C1503,"DIXON C1503 1/2\ PLTD STL MICROMETER TORQUE WRENCH 36 TOOTH 150 FT LB""",
2070959,C1002,"DIXON C1002 3/8\ PLTD STL MICROMETER TORQUE WRENCH 36 TOOTH 100 FT LB""",
2070958,C1001,"DIXON C1001 1/4\ PLTD STL MICROMETER TORQUE WRENCH 36 TOOTH 100 IN LB""",
2070957,BW75AT,"DIXON BW75AT BARWAY BOOSTER INSTALLATION KIT 3/4\ WITH ALUM CLAMPS""",
2070955,BW10150S-PC,"DIXON BW10150S-PC 1\ NPSH 1-1/2\"" bowl Booster Cplg Polished Chrome""",
2070954,BV2M,"DIXON BV2M 1/4\ Male NPT Brass Button Valve""",
2070953,BV2IG-40033-A,"DIXON BV2IG-40033-A 4\ 3pc SS Ind BV SW Ends""",
2070947,BV2IG-40011-BCC,"DIXON BV2IG-40011-BCC 4\ 2way BV FNPTRTFERPALDA""",
2070944,BV2IG-30033-A,"DIXON BV2IG-30033-A 3\ 3pc SS Ind BV SW Ends""",
2070942,BV2IG-25033-A,"DIXON BV2IG-25033-A 2.5\ 3pc SS Ind BV SW Ends""",
2070940,BV2IG-20033-A,"DIXON BV2IG-20033-A 2\ 3pc Stainless Ind. SW x SW""",
2070938,BV2IG-15033-A,"DIXON BV2IG-15033-A 1 1/2\ 3pc Stainless Ind. SW x SW""",
2070936,BV2IG-12533-A,"DIXON BV2IG-12533-A 1.25\ 3pc SS Ind BV SW Ends""",
2070934,BV2IG-10033-A,"DIXON BV2IG-10033-A 1\3 pc SS Ind BV SW ends""",
2070932,BV2IG-07533-A,"DIXON BV2IG-07533-A 3/4\ 3pc SS Ind BV SW Ends""",
2070880,BS-2425-R100200,"DIXON BS-2425-R100200 1\-2\"" Long Strainer Back-Up Tube w/ .25\"" Holes""",
2070879,BS-2418-R100200,"DIXON BS-2418-R100200 1\ - 2\"" Long Strainer Back-Up Tube w/ 1/8\"" Holes""",
2070872,BS-1425-R100200,"DIXON BS-1425-R100200 1\-2\"" Short Strainer Back-Up Tube w/ .25\"" Holes""",
2070870,BS-1418-R100200,"DIXON BS-1418-R100200 1\-2\"" Short Strainer Back-Up Tube w/ 1/8\"" Holes""",
2070833,BFNE150,DIXON BFNE150 BRASS FIRE NOZZLE ELEC 1 1/2 NPSH,
2070811,B54G-P400,"DIXON B54G-P400 4\ Sight Glass \""Borosilicate\""""",
2070810,B54G-P300,"DIXON B54G-P300 3\ Sight Glass \""Borosilicate\""""",
2070809,B54G-P250,"DIXON B54G-P250 2.5\ Sight Glass \""Borosilicate\""""",
2070808,B54G-P200,"DIXON B54G-P200 2\ Sight Glass \""Borosilicate\""""",
2070807,B54G-P150,"DIXON B54G-P150 1.5\ Sight Glass \""Borosilicate\""""",
2070806,B54G-P100,"DIXON B54G-P100 1\ Sight Glass \""Borosilicate\""""",
2070805,B54BMP-SK400,"DIXON B54BMP-SK400 4\ Seal Kit for Sight Glass""",
2070804,B54BMP-SK300,"DIXON B54BMP-SK300 3\ Seal Kit for Sight Glass""",
2070803,B54BMP-SK250,"DIXON B54BMP-SK250 2.5\ Seal Kit for Sight Glass""",
2070802,B54BMP-SK200,"DIXON B54BMP-SK200 2\ Seal Kit for Sight Glass (2 PCS PER KIT)""",
2070801,B54BMP-SK150,"DIXON B54BMP-SK150 1.5\Seal Kit for Sight Glass""",
2070800,B54BMP-SK100,"DIXON B54BMP-SK100 1\ Seal Kit for Sight Glass""",
2070792,B5416MP-A600,"DIXON B5416MP-A600 6\Sight Glass End Cap-Acrylic""",
2070791,B5416MP-A400,"DIXON B5416MP-A400 4\Sight Glass End Cap-Acrylic""",
2070790,B5416MP-A300,"DIXON B5416MP-A300 3\Sight Glass End Cap-Acrylic""",
2070789,B5416MP-A250,"DIXON B5416MP-A250 2.5\SIght Glass End Cap-Acrylic""",
2070788,B5416MP-A200,"DIXON B5416MP-A200 2\Sight Glass End Cap-Acrylic""",
2070787,B5416MP-A100150,"DIXON B5416MP-A100150 1&1.5\Sight Glass End Cap-Acrylic""",
2070786,B5121E800LL-BCC,"DIXON B5121E800LL-BCC 8\LugBFVCI BdyEPDMRPALDA""",
2070785,B5121E600LL-BCC,"DIXON B5121E600LL-BCC 6\LugBFVCI BdyEPDMRPALDA""",
2070784,B5121E500LL-BCC,"DIXON B5121E500LL-BCC 5\LugBFVCI BdyEPDMRPALDA""",
2070783,B5121E400LL-BCC,"DIXON B5121E400LL-BCC 4\LugBFVCI BdyEPDMRPALDA""",
2070782,B5121E300LL-BCC,"DIXON B5121E300LL-BCC 3\LugBFVCI BdyEPDMRPALDA""",
2070781,B5121E250LL-BCC,"DIXON B5121E250LL-BCC 2.5\LugBFVCI BdyEPDMRPALDA""",
2070780,B5121E200LL-BCC,"DIXON B5121E200LL-BCC 2\LugBFVCI BdyEPDMRPALDA""",
2070779,B5121E1200LLBCC,"DIXON B5121E1200LLBCC 12\LugBFVCI BdyEPDMRPALDA""",
2070778,B5121E1000LLBCC,"DIXON B5121E1000LLBCC 10\LugBFVCI BdyEPDMRPALDA""",
2070765,B5104E250CC-H,"DIXON B5104E250CC-H 2.5\ B5104EPDMCxCVCNRDA""",
2070764,B5104E250CC-F,"DIXON B5104E250CC-F 2.5\ B5104CxCEPDMVCNRSRNO""",
2070763,B5104E200CC-H,"DIXON B5104E200CC-H 2\ B5104 EPDMCXCVCSRNC""",
2070762,B5104E200CC-G,"DIXON B5104E200CC-G 2\ B5104 EPDM CxC VC SR NC""",
2070761,B5104E150CC-H,"DIXON B5104E150CC-H 1.5\ B5104CxCEPDMVC.NRDA""",
2070760,B5104E150CC-F,"DIXON B5104E150CC-F 1.5\ B5104CxCEPDMVCNRSRNO""",
2070759,B5104E100CC-H,"DIXON B5104E100CC-H 1\ B5104CxCEPDMVCNRDA""",
2070758,B5104E100CC-F,"DIXON B5104E100CC-F 1\ B5104EPDMCxCVCNRSRNO""",
2070757,B5102E400-F,"DIXON B5102E400-F 4\ B5102EPDMVCNPNOSR""",
2070756,B5102E300-F,"DIXON B5102E300-F 3\ B5102EPDMVCNPNOSR""",
2070755,B5102E250-H,"DIXON B5102E250-H 2.5\ B5102EPDMVCNRDA""",
2070754,B5102E250-G,"DIXON B5102E250-G 2.5\ B5102EPDMVCNRSRNC""",
2070753,B5102E250-F,"DIXON B5102E250-F 2.5\ B5102EPDMVCNPNOSR""",
2070752,B5102E200-H,"DIXON B5102E200-H 2\ B5102EPDMVCNRDA""",
2070751,B5102E200-F,"DIXON B5102E200-F 2\ B5102EPDMVCNPNOSR""",
2070750,B5102E150-H,"DIXON B5102E150-H 1.5\ B5102EPDMVCNRDA""",
2070749,B5102E150-G,"DIXON B5102E150-G 1.5\ B5102EPDMVCNRSRNC""",
2070748,B5102E150-F,"DIXON B5102E150-F 1.5\ B5102EPDMVCNPNOSR""",
2070747,B5102E100-H,"DIXON B5102E100-H 1\ B5102EPDMVCNRDA""",
2070746,B5102E100-F,"DIXON B5102E100-F 1\ B5102EPDMVCNPNOSR""",
2070745,B5101E400CC-G,"DIXON B5101E400CC-G 4\5101 EPDM CxC VERTNRSNC SR""",
2070744,B5101E300CC-H,"DIXON B5101E300CC-H 3\5101 EPDM CxC VERT NRS DA""",
2070743,B5101E300CC-G,"DIXON B5101E300CC-G 3\5101 EPDMCxCVERTNRSNCSR""",
2070742,B5101E200CC-G,"DIXON B5101E200CC-G 2\ 5101 EPDM CxCVERTNRSNCSR""",
2070741,B5101E150CC-G,"DIXON B5101E150CC-G 1.5\ 5101EPDM CxCVERTNRSNCSR""",
2070740,B5101E100CC-H,"DIXON B5101E100CC-H 1\ EPDM CxCSSDANRS""",
2070739,B5101E100CC-G,"DIXON B5101E100CC-G 1\5101 EPDM CxC Vert NRS NCSR""",
2070738,B5101E075CC-H,"DIXON B5101E075CC-H 3/4\ B5101EPDMCxCVCNRDA""",
2070737,B5101E075CC-G,"DIXON B5101E075CC-G 3/4\ B5101EPDMCxCVCSRNC""",
2070736,B5101E075CC-F,"DIXON B5101E075CC-F 3/4\ B5101EPDMCxCVCSRNO""",
2070735,B5101E050CC-H,"DIXON B5101E050CC-H 1/2\ B5101EPDMCxCVCDANR""",
2070734,B5101E050CC-G,"DIXON B5101E050CC-G .5\ B5101EPDMCxCVCSRNC""",
2070733,B5101E050CC-F,"DIXON B5101E050CC-F 1/2\ B5101EPDMCxCVCSRNO""",
2070732,B38W-R800,"DIXON B38W-R800 8\ Weld Neck Flange""",
2070731,B38W-R600,"DIXON B38W-R600 6\ Weld Neck Flange 316L""",
2070730,B38W-R400,"DIXON B38W-R400 4\ Weld Neck Flange - 316L""",
2070729,B38W-R300,"DIXON B38W-R300 3\ Weld Neck Flange-316L""",
2070728,B38W-R250,"DIXON B38W-R250 2.5\ Weld Neck Flange 316L""",
2070727,B38W-R200,"DIXON B38W-R200 2\ Weld Neck Flange-316L""",
2070726,B38W-R150,"DIXON B38W-R150 1.5\ Weld Neck Flange-316L""",
2070725,B38W-R100,"DIXON B38W-R100 1\Weld Neck Flange-316L""",
2034011,AVAPRF250-I,"DIXON AVAPRF250-I 2-1/2\ FNPT X 2-1/2\"" FNPT ANGLE VALVE - ADJ PRES RESTRICTING""",
2034009,AVAPRF150-I,"DIXON AVAPRF150-I 1-1/2\ FNPT X 1-1/2\"" FNPT ANGLE VALVE - ADJ PRES RESTRICTING""",
2034007,AVAPR250F-I,"DIXON AVAPR250F-I 2-1/2\ FNPT X MNST ANGLE VALVE - ADJ PRES RESTRICTING""",
2034005,AVAPR150F-I,"DIXON AVAPR150F-I 1-1/2\ FNPT x 1-1/2\"" MNST Angle Valve Adj Pressure Restricting""",
2034001,AV251NYFD,"DIXON AV251NYFD 2-1/2\ FNPT X 2-1/2\"" NYFD ANGLE HOSE VALVE - CAST BRASS""",
2034000,AV251NYC,"DIXON AV251NYC 2.5\ FNPT X 2.5\"" MNYC ANGLE HOSE""",
2033997,AV250W-I,"DIXON AV250W-I 2.5\ NPT X 2.5 \""WCT ANGLE HOSE VALV IMPORT""",
2033996,AV250S,"DIXON AV250S 2-1/2\ FNPT x 2-1/2\"" MNPSH Angle Hose Valve - Cast Brass""",
2033995,AV250Q-I,"DIXON AV250Q-I 2.5\ NPT X 2.5\"" QST ANGLE HOSE VALV IMPORT""",
2033994,AV250NYFD,"DIXON AV250NYFD 2-1/2\ FNPT X 2-1/2\"" MNYFD ANGLE HOSE VLV CAST BRASS W/ALUM HNDL""",
2033993,AV250NYC,"DIXON AV250NYC 2.5\ FNPT X 2.5\"" MNYC ANGLE HOSE""",
2033992,AV250C-I,"DIXON AV250C-I 2.5\ NPT X 2.5\"" CSA ANGLE HOSE VALV IMPORT""",
2033991,AV250B-I,"DIXON AV250B-I 2.5\ NPT X 2.5\"" ANGLE HOSE VALVE IMPORT""",
2033988,AV151NYFD,"DIXON AV151NYFD 1-1/2\ FNPT X 1-1/2\"" MNYFD ANGLE HOSE VALVE - CAST BRASS""",
2033985,AV150T,"DIXON AV150T 1-1/2\ FNPT INLET X 1-1/2\"" MNPT OUT BRASS ANGLE HOSE VALVE""",
2033984,AV150S,"DIXON AV150S 1-1/2\ FNPT X 1-1/2\"" MNPSH ANGLE HOSE VALVE - CAST BRASS""",
2033983,AV150NYFD,DIXON AV150NYFD AV150 w/ Male NYFD Thread,
2033980,ATCGF40,"DIXON ATCGF40 4\ 20 DEGREE EZ CPLR X TTMA FLANGE""",
2033977,ASTB50,"DIXON ASTB50 5\ Aluminum King Combo Nipple Beveled Plain End""",
2033976,ASHV1015F,"DIXON ASHV1015F 1\ MNPT X 1-1/2\"" MNH SPRINKLER HOSE VALVE - CAST VALVE""",
2033972,APRD250NYC,"DIXON APRD250NYC 2.5\ NYC ADJUSTABLE PRESSURE RESTRICTING DEVICE - CAST BRASS""",
2033971,AL-TPR35-70,"DIXON AL-TPR35-70 1/4\ Female Inlet Grey 1.70mm Orifice 6.5 Nozzle Size""",
2033970,AL-TPR35-50,"DIXON AL-TPR35-50 1/4\ Female Inlet purple 1.50mm Orifice 5.5 Nozzle Size""",
2033969,AL-TPR35-30,"DIXON AL-TPR35-30 1/4\ Female Inlet dark green 1.30mm Orifice 4.0 Nozzle Size""",
2033968,AK4450NST,"DIXON AK4450NST 2-1/2\ NST AUQASTREAM BRASS MONITOR NOZZLE""",
2033967,AK3526-300FL,"DIXON AK3526-300FL 3\ FLG INLET X 2 1/2\"" MNST BRASS INDUSTRIAL MONITOR""",
2033966,AHGV250W,"DIXON AHGV250W 2.5\ HYDRANT GATE WCT NULL""",
2033965,AHGV250Q,"DIXON AHGV250Q 2.5\ HYDRANT GATE VALVE QST NULL""",
2033964,AHGV250NS,"DIXON AHGV250NS 2.5\ HYDRANT GATE VALVE NSZ1 NULL""",
2033963,AHGV250C,"DIXON AHGV250C 2.5\ HYDRANT GATE VALVE CSA NULL""",
2033962,AHGV250B,"DIXON AHGV250B 2.5\ HYDRANT GATE VALVE BA NULL""",
2033961,AD400ALEZMTC,"DIXON AD400ALEZMTC 4\ CPLR X 5\"" TANK CAR EZ BOSSLOCK WELDED FAB""",
2033959,ABN150S,"DIXON ABN150S 1-1/2\ NPSH ALUM BREAK APART ATTACK NOZZLE""",
2033958,ABN150F,"DIXON ABN150F 1-1/2\ NST ALUM BREAK APART ATTACK NOZZLE""",
2033957,ABN100S,"DIXON ABN100S 1\ NPSH ALUM BREAK APART ATTACK NOZZLE""",
2033956,ABN100F,"DIXON ABN100F 1\ NST ALUM BREAK APART ATTACK NOZZLE""",
2033954,A515U50CBS,"DIXON A515U50CBS 1-1/2\ X 50 500# SJ U/L LABELED HOSE WITH BR NPSH COMBO LUG ENDS""",
2033948,90SCS4025NYFD,DIXON 90SCS4025NYFD 90 DEGREE 4 FNPT X 2-1/2 FNYFD SINGLE CLAPPER SIAMESE - DOMESTIC,
2033947,90SCS4025F-SP,"DIXON 90SCS4025F-SP 90 DEGREE 4 FNPT X 2-1/2 FNST SINGLE CLPR SIAMESE-\STANDPIPE\""""",
2033944,90FRC4025F-D,"DIXON 90FRC4025F-D 90 DEGR 4\ FNPT X 2-1/2\"" MNST ROOF CONNECTION - DOMESTIC""",
2033943,90FRC4025-D,"DIXON 90FRC4025-D 90 DEGR 4\ FNPT X 2-1/2\"" MNPT ROOF CONNECTION - DOMESTIC""",
2033929,90CREV6030,"DIXON 90CREV6030 6 NPT X (2) 3 NPT CON REV 90 SIA 7 5/8\ CENTERS""",
2033928,90CREV6025,"DIXON 90CREV6025 6 NPT X (2) 2.5 NPT CON REV 90 SIA 7 5/8\ CENTERS""",
2033927,90CREV5030,"DIXON 90CREV5030 5 NPT X (2) 3 NPT CON REV 90 SIA 7 5/8\ CENTERS""",
2033925,90CDMHCB60230,"DIXON 90CDMHCB60230 90 DEGREE 6\ NPT X (2) 3\"" NPT CONCEALED HYDRANT BODY-BRASS""",
2033924,90CDMHCB60225,"DIXON 90CDMHCB60225 90 DEGREES 6\ NPT X (2) 2.5\"" NPT CONCEALED HYDRANT BODY - BRASS""",
2033919,80SEGCOLL,"DIXON 80SEGCOLL 8\ SEGMENTED COLLARS FOR LDH HOSE FITTINGS""",
2033918,8-DTTM-8,"DIXON 8-DTTM-8 1/2\ Tube OD x 1/2\"" MNPT 316SS Male Branch Tee""",
2033917,8-DTTM-6,"DIXON 8-DTTM-6 1/2\ Tube OD x 3/8\"" MNPT 316SS Male Branch Tee""",
2033916,8-DTMT-8,"DIXON 8-DTMT-8 1/2\ Tube OD x 1/2\"" MNPT 316SS Male Run Tee""",
2033915,8-DTMT-6,"DIXON 8-DTMT-6 1/2\ Tube OD x 3/8\"" MNPT 316SS Male Run Tee""",
2033879,6400-DTK,DIXON 6400-DTK 6400 Drop Tube With O-ring And U-cup Seal Installed,
2033874,6000-17C,"DIXON 6000-17C ADAPTOR INLET 4 FOR COAX\ Petroleum""",
2033873,6000-16C,"DIXON 6000-16C ADPT INLET 3\ FOR COAX\"" Petroleum""",
2033872,6000-15C,"DIXON 6000-15C COUPLER INLET 3\ FOR COAX\"" Petroleum""",
2033867,575-1212,"DIXON 575-1212 Female and Male Lok-ON GH 3/4\ Set""",
2033866,575-1010,DIXON 575-1010 Female and Male Lok-ON GH 5/8 Set,
2033865,575-0808,DIXON 575-0808 Female and Male Lok-ON GH 1/2 Set,
2033857,5300BC,DIXON 5300BC API Coupler w/ Snap On Connection Bonded Viton B Nose Seal-CRUDE OIL,
2033856,5204NG,DIXON 5204NG Api Load/unload Adapt Fixed Handle No Sight Glass Petroleum,
2033855,5204LSNGP,"DIXON 5204LSNGP API LOAD ONLY ADPT NO SIGHT W/ 1/2\ DRAIN PORT""",
2033854,5204LSNG,DIXON 5204LSNG Api Load Only Adapter No Sight Glass W/ss Spring Petroleum,
2033853,500GTCAVITHK,"DIXON 500GTCAVITHK 5\ VITON GASKET FOR RAIL CAR FITTGS""",
2033850,5000-24L,"DIXON 5000-24L CAP-API ADAPTER 4\ W /LOCKING ARMS PETROLEUM""",
2033842,44-251-00006,DIXON 44-251-00006 PENT ADAPTER NUT FOR WHARF HYDR,
2033836,4030REV90,"DIXON 4030REV90 4\ NPT X (2) 3\"" NPT 90 DEGREE REVERSE ANGLE CONC BODY""",
2033834,4025REV90,"DIXON 4025REV90 4\ NPT X (2) 2.5\"" NPT 90 DGR REVERSE ANGLE CONC BODY""",
2033833,400DWX5TC,"DIXON 400DWX5TC 4\ COUPLER X 5\"" MALE TANK CAR THREADED ALUM.""",
2033832,400-LH-SI,DIXON 400-LH-SI Locking Handle 316 SS,
2033831,400-DP-ALPH,"DIXON 400-DP-ALPH 4\ Cam and Groove Dust Plug w/ Handle""",
2033830,400-DC-ALPH,"DIXON 400-DC-ALPH 4\ Cam and Groove Dust Cap w/ Handle""",
2033829,4-DU-2,"DIXON 4-DU-2 1/4\ X 1/8\"" Tube OD 316SS Union""",
2033828,4-DTTF-4,"DIXON 4-DTTF-4 1/4\ Tube OD x 1/4\"" FNPT 316SS Female Branch Tee""",
2033799,3511WF,"DIXON 3511WF 1/2\ x 3/4\"" Male NPT Nipple w/ CS Ferrule Steel Nipple""",
2033790,3025-F-ALNST,"DIXON 3025-F-ALNST 3\ MALE CAM X 2-1/2\"" MNST ALUM ADPTR""",
2033789,3025-D-ALNST,"DIXON 3025-D-ALNST 3\ FEMALE CAM X 2-1/2\"" FNST RL ALUM ADAPTER""",
2033788,3025-B-ALNST,"DIXON 3025-B-ALNST 3\ FEMALE CAM X 2 1/2\"" MNST RL""",
2033787,3025-A-ALNST,"DIXON 3025-A-ALNST 3\ MALE CAM X 2-1/2\"" FNST ALUM""",
2033784,300-LH-SI,DIXON 300-LH-SI Locking Handle 316 SS,
2033783,300-F-HA,"DIXON 300-F-HA 3\ HASTALLOY MALE ADPT X MALE NPT""",
2033782,300-E-HA,"DIXON 300-E-HA 3\ HASTALLOY MALE ADPT X HOSE SHANK""",
2033781,300-DP-ALPH,"DIXON 300-DP-ALPH 3\ CAM AND GROOVE DUST PLUG W/ HANDLE""",
2033780,300-DC-ALPH,"DIXON 300-DC-ALPH 3\ CAM AND GROOVE DUST CAP W/ HANDLE""",
2033779,300-A-HA,"DIXON 300-A-HA 3\ HASTALLOY MALE ADAPTER X FEM NPT""",
2033778,2WSA6025F-SP,DIXON 2WSA6025F-SP 6 X 2.5 TWO-WAY ASMBL STANDPIPE BODY 2 PLUGS SLV PLATE CAST BR,
2033777,2WSA6025F,DIXON 2WSA6025F 6 X 2.5 TWO-WAY ASMBL Auto Sprink W BODY 2 PLUGS SLV PLATE CAST BR,
2033776,2WSA4025F-SP,DIXON 2WSA4025F-SP 4 X 2.5 TWO-WAY ASMBL Standpipe W/ BODY 2 PLUGS SLV PLATE CAST BR,
2033775,2WSA4025F,DIXON 2WSA4025F 4 X 2.5 TWO-WAY SIDEWALK ASMBL W/ BODY 2 PLUGS SLV PLATE CAST BR,
2033774,2WCA6025F-SP-P,DIXON 2WCA6025F-SP-P 6 NPT X (2) 2.5 NST SP POL STRAIGHT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033773,2WCA6025F-SP-C,DIXON 2WCA6025F-SP-C 6 NPT X (2) 2.5 NST SP POL/CHR STRT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033772,2WCA6025F-P,DIXON 2WCA6025F-P 6 NPT X (2) 2.5 NST AS POL STRAIGHT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033771,2WCA6025F-C,DIXON 2WCA6025F-C 6 NPT X (2) 2.5 NST AS POL/CHR STRT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033770,2WCA4030F-P,DIXON 2WCA4030F-P 4 NPT X (2) 3 NST AS POL STRAIGHT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033769,2WCA4025F-SP-P,DIXON 2WCA4025F-SP-P 4 NPT X (2) 2.5 NST SP POL STRAIGHT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033768,2WCA4025F-SP-C,DIXON 2WCA4025F-SP-C 4 NPT X (2) 2.5 NST SP POL/CHR STRT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033767,2WCA4025F-P,DIXON 2WCA4025F-P 4 NPT X (2) 2.5 NST AS POL STRAIGHT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033766,2WCA4025F-C,DIXON 2WCA4025F-C 4 NPT X (2) 2.5 NST AS POL/CHR STRT DBL CLPR CONCEALED SIAMESE ASSEMBLY,
2033735,21012,"DIXON 21012 12\ Type A - Black Male & Ring for Welding""",
2033734,21010,"DIXON 21010 10\ Type A - Black Male & Ring for Welding""",
2033733,2025-F-ALNST,"DIXON 2025-F-ALNST 2\ ALUM MALE ADAPTER X 2-1/2\"" MNST""",
2033732,2025-D-ALNST,"DIXON 2025-D-ALNST 2\ FEMALE COUPLER X 2-1/2\"" FNST ALUM""",
2033731,2015-B-ALNST,"DIXON 2015-B-ALNST 2\ FEMALE COUPLER X 1-1/2\"" MNST ALUM""",
2033729,200-LH-SI,DIXON 200-LH-SI Locking Handle 316 SS,
2033728,2-DU,"DIXON 2-DU 1/8\ x 1/8\"" Tube OD 316SS Union""",
2033727,2-DTTM-2,"DIXON 2-DTTM-2 1/8\ Tube OD x 1/8\""-27 MNPT 316SS Male Branch Tee""",
2033726,2-DTMT-2,"DIXON 2-DTMT-2 1/8\ Tube OD x 1/8\""-27 MNPT 316SS Male Run Tee""",
2033725,2-DMC-4,"DIXON 2-DMC-4 1/8\ Tube OD x 1/4\"" Male NPT 316SS Male Connector""",
2033724,2-DMC-2,"DIXON 2-DMC-2 1/8\ Tube OD x 1/8\"" Male NPT 316SS Male Connector""",
2033723,2-DFC-2,"DIXON 2-DFC-2 1/8\ Tube OD x 1/8\"" FNPT 316SS Female Connector""",
2033722,1840808A,"DIXON 1840808A 1/2\ Hose ID x 1/2\""-14 NPSM Brass Reusable Female Swivel Stem""",
2033721,1840606A,"DIXON 1840606A 3/8\ Hose ID x 3/8\""-18 NPSM Brass Reusable Female Swivel Stem""",
2033720,1840604A,"DIXON 1840604A 3/8\ Hose ID x 1/4\""-18 NPSM Brass Reusable Female Swivel Stem""",
2033719,1840504A,"DIXON 1840504A 5/16\ Hose ID x 1/4\""-18 NPSM Brass Reusable Female Swivel Stem""",
2033718,1840406A,"DIXON 1840406A 1/4\ Hose ID x 3/8\""-18 NPSM Brass Reusable Female Swivel Stem""",
2033717,1840404A,"DIXON 1840404A 1/4\ Hose ID x 1/4\""-18 NPSM Brass Reusable Female Swivel Stem""",
2033716,1820808SS,"DIXON 1820808SS REUSABLE MALE STEM 1/2 X 1/2\ STAIN 303 STAINLESS STEEL""",
2033714,1820806SS,"DIXON 1820806SS REUSABLE MALE STEM 1/2 X 3/8\ STAIN 303 STAINLESS STEEL""",
2033710,1820606SS,"DIXON 1820606SS REUSABLE MALE STEM 3/8 X 3/8\ STAIN 303 STAINLESS STEEL""",
2033708,1820604SS,"DIXON 1820604SS REUSABLE MALE STEM 3/8 X 1/4\ STAIN 303 STAINLESS STEEL""",
2033705,1820504SS,"DIXON 1820504SS REUSABLE MALE STEM 5/16 X1/4\ STAIN 303 STAINLESS STEEL""",
2033702,1820404SS,"DIXON 1820404SS REUSABLE MALE STEM 1/4 X 1/4\ STAIN 303 STAINLESS STEEL""",
2033663,16EF16-S,"DIXON 16EF16-S 2\ 303 Stainless Steel Female NPT Straight Through Coupler""",
2033662,16AI-15I800R,"DIXON 16AI-15I800R 8\ FEMALE I-LINE CAP - 316L""",
2033661,16AI-15I600R,"DIXON 16AI-15I600R 6\ Female I-Line End Cap-316L""",
2033660,16AI-15I400R,"DIXON 16AI-15I400R 4\ Female I-Line End Cap-316L""",
2033659,16AI-15I300R,"DIXON 16AI-15I300R 3\ Female I-Line End Cap-316L""",
2033658,16AI-15I250R,"DIXON 16AI-15I250R 2.5\ Female I-Line End Cap-316L""",
2033657,16AI-15I200R,"DIXON 16AI-15I200R 2\ Female I-Line End Cap-316L""",
2033656,16AI-15I150R,"DIXON 16AI-15I150R 1.5\ Female I-Line End Cap-316L""",
